date,open,high,low,close,volume,marketcap,average
20180110,0.039140,0.039226,0.026477,0.038996,168,393915,0.03
20180109,0.039457,0.041657,0.027313,0.039089,47,397105,0.03
20180108,0.028010,0.039614,0.024498,0.039565,1075,281902,0.03
20180107,0.049027,0.049027,0.020557,0.028049,112,493424,0.03
20180106,0.037365,0.049195,0.036864,0.049063,107,376050,0.04
20180105,0.033399,0.037651,0.018992,0.037335,72,336133,0.03
20180104,0.046849,0.046927,0.032711,0.033392,92,471503,0.04
20180103,0.047029,0.049014,0.045568,0.046594,25,473317,0.05
20180102,0.034159,0.048269,0.030129,0.047197,739,343782,0.04
20180101,0.059980,0.059980,0.029405,0.034161,992,603654,0.04
20171231,0.040051,0.060505,0.027099,0.059749,4057,403081,0.04
20171230,0.021019,0.061283,0.020618,0.040488,4772,211540,0.04
20171229,0.014330,0.021575,0.014127,0.021072,80,144218,0.02
20171228,0.015516,0.015582,0.013626,0.013978,2,156157,0.01
20171227,0.018067,0.018313,0.015185,0.015548,92,181830,0.02
20171226,0.008636,0.009627,0.008601,0.009585,48,86919,0.01
20171225,0.015214,0.015253,0.008357,0.008645,43,153117,0.01
20171224,0.015775,0.015775,0.013572,0.015057,25,158763,0.01
20171223,0.014893,0.016910,0.014684,0.015603,2,149886,0.02
20171222,0.017127,0.017296,0.012362,0.014753,3,172373,0.01
20171221,0.018619,0.018619,0.016510,0.017068,17,187383,0.02
20171220,0.010571,0.010571,0.009624,0.009970,8,106392,0.01
20171219,0.021238,0.021314,0.010231,0.010582,29,213748,0.02
20171218,0.021392,0.021402,0.020521,0.021220,4,215293,0.02
20171217,0.021619,0.022165,0.020944,0.021391,14,217581,0.02
20171216,0.019941,0.022111,0.019689,0.021616,21,200691,0.02
20171215,0.018578,0.020244,0.018575,0.019913,33,186976,0.02
20171214,0.018177,0.018941,0.017971,0.018550,1729,182936,0.02
20171213,0.018689,0.019293,0.017689,0.018235,101,188088,0.02
20171207,0.015796,0.019651,0.015594,0.019305,277,158978,0.02
20171206,0.013690,0.016121,0.013690,0.015824,330,137779,0.01
20171205,0.009208,0.013943,0.009080,0.013720,162,92677,0.01
20171204,0.010118,0.010430,0.008602,0.009190,9,101826,0.01
20171203,0.010385,0.011227,0.009529,0.010084,101,104519,0.01
20171202,0.014496,0.014513,0.010361,0.010375,205,145889,0.01
20171201,0.009793,0.010638,0.009271,0.010617,2,98562,0.01
20171130,0.014252,0.015502,0.009303,0.009842,2,143432,0.01
20171129,0.011210,0.014954,0.010032,0.014036,6,112822,0.01
20171128,0.009560,0.009780,0.009468,0.009761,8,96217,0.01
20171127,0.009332,0.009552,0.009332,0.009536,8,93923,0.01
20171126,0.008659,0.009420,0.008649,0.009227,7,87145,0.01
20171125,0.008496,0.008795,0.008490,0.008662,9,85502,0.01
20171124,0.007876,0.007928,0.007726,0.007880,14,79269,0.01
20171123,0.013983,0.014051,0.007887,0.007887,15,140727,0.01
20171122,0.026695,0.027249,0.008979,0.013987,29,268670,0.02
20171121,0.014539,0.036612,0.006939,0.026631,2164,146323,0.02
20171120,0.007963,0.007981,0.007868,0.007893,2,80142,0.01
20171119,0.007724,0.008031,0.007619,0.007967,2,77739,0.01
20171118,0.015220,0.015451,0.014755,0.015281,139,153176,0.02
20171117,0.012002,0.015814,0.011950,0.015278,139,120795,0.01
20171116,0.011004,0.012244,0.010995,0.012022,16,110747,0.01
20171114,0.010319,0.010619,0.010319,0.010432,5,103851,0.01
20171113,0.009820,0.010627,0.009811,0.010297,5,98828,0.01
20171111,0.011046,0.011441,0.010576,0.010665,8,111168,0.01
20171110,0.006273,0.011304,0.005796,0.011085,8,63137,0.01
20171109,0.006333,0.006333,0.006234,0.006255,3,63735,0.01
20171108,0.015300,0.016862,0.015209,0.015606,9,153980,0.02
20171107,0.005498,0.015495,0.005498,0.015348,13,55329,0.01
