date,open,high,low,close,volume,marketcap,average
20180110,0.012842,0.015911,0.012037,0.012917,6870,,0.01
20180109,0.012525,0.017531,0.011000,0.012825,7627,,0.01
20180108,0.012557,0.039293,0.011003,0.012972,22471,,0.03
20180107,0.010130,0.012839,0.006632,0.012575,10871,,0.01
20180106,0.008472,0.011409,0.006221,0.010137,3086,,0.01
20180105,0.006461,0.008537,0.005579,0.008466,1352,,0.01
20180104,0.007851,0.007980,0.006033,0.006460,1226,,0.01
20180103,0.007646,0.008951,0.006537,0.007808,2371,,0.01
20180102,0.005978,0.009119,0.005804,0.007673,4418,,0.01
20180101,0.006940,0.008517,0.005979,0.005979,2719,,0.01
20171231,0.006508,0.007330,0.005022,0.006914,2901,,0.01
20171230,0.005314,0.006806,0.004260,0.006579,6066,,0.01
20171229,0.004502,0.005586,0.004435,0.005327,2127,,0.01
20171228,0.004275,0.004777,0.003776,0.004456,1035,,0.00
20171227,0.004801,0.005781,0.004161,0.004284,4463,,0.00
20171226,0.003713,0.005334,0.003300,0.004797,2919,,0.00
20171225,0.002967,0.003554,0.002258,0.003554,1538,,0.00
20171224,0.004033,0.005040,0.002741,0.003282,1317,,0.00
20171223,0.003230,0.004646,0.001653,0.003989,1660,,0.00
20171222,0.003113,0.003603,0.002497,0.003200,457,,0.00
20171221,0.002847,0.004067,0.002847,0.003103,915,,0.00
20171220,0.003661,0.003661,0.002728,0.002837,522,,0.00
20171219,0.004514,0.004534,0.003184,0.003665,3227,,0.00
20171218,0.003649,0.004963,0.003485,0.004510,1606,,0.00
20171217,0.004187,0.004720,0.003582,0.003638,6009,,0.00
20171216,0.003841,0.007555,0.003127,0.004186,2732,,0.01
20171215,0.003810,0.006824,0.003309,0.003836,2097,,0.01
20171214,0.004492,0.005302,0.003306,0.003804,39885,,0.00
20171213,0.005436,0.013104,0.003083,0.003943,5060,,0.01
20171212,0.004574,0.005516,0.002447,0.005432,168,,0.00
20171211,0.009084,0.010265,0.003792,0.004580,1953,,0.01
20171210,0.008087,0.009220,0.005957,0.009150,277,,0.01
20171209,0.009155,0.009398,0.007056,0.008054,302,,0.01
20171208,0.013322,0.013358,0.007171,0.009164,838,,0.01
20171207,0.010759,0.013291,0.008396,0.013291,1490,,0.01
20171206,0.006435,0.010983,0.006435,0.010777,790,,0.01
20171205,0.009079,0.009529,0.006129,0.006450,1650,,0.01
20171204,0.003726,0.009170,0.003722,0.009061,1827,,0.01
20171203,0.007102,0.007320,0.001813,0.003714,2788,,0.00
20171202,0.009529,0.009775,0.006845,0.007096,926,,0.01
20171201,0.010139,0.010251,0.007617,0.009538,596,,0.01
20171130,0.005771,0.010284,0.004769,0.010189,624,,0.01
20171129,0.009542,0.010447,0.005664,0.005683,540,,0.01
20171128,0.009275,0.009620,0.008484,0.009552,637,,0.01
20171127,0.010565,0.011181,0.009231,0.009251,688,,0.01
20171126,0.010787,0.013839,0.005183,0.010563,3190,,0.01
20171125,0.008375,0.010791,0.008009,0.010791,1003,,0.01
20171124,0.010033,0.010085,0.007445,0.008392,691,,0.01
20171123,0.007352,0.023667,0.006805,0.010047,7395,,0.02
20171122,0.007012,0.007869,0.006778,0.007354,2251,,0.01
20171121,0.008241,0.008260,0.006477,0.006995,941,,0.01
20171120,0.009274,0.009329,0.007006,0.008240,1230,,0.01
20171119,0.008638,0.010058,0.008605,0.009278,278,,0.01
20171118,0.009893,0.010121,0.007461,0.008654,204,,0.01
20171117,0.015424,0.015787,0.006208,0.009931,697,,0.01
20171116,0.007531,0.016418,0.006267,0.015449,7711,,0.01
20171115,0.006885,0.009096,0.006885,0.007434,2424,,0.01
20171114,0.011456,0.013946,0.006707,0.006865,7750,,0.01
20171113,0.011681,0.014322,0.010478,0.011432,1036,,0.01
20171112,0.011511,0.014017,0.010509,0.011664,655,,0.01
20171111,0.015406,0.015974,0.011205,0.011519,271,,0.01
20171110,0.016128,0.016342,0.011611,0.015461,1307,,0.01
20171109,0.015987,0.025261,0.015364,0.016080,4020,,0.02
20171108,0.018486,0.026940,0.005486,0.016003,6070,,0.02
20171107,0.011683,0.022258,0.011683,0.020195,1243,,0.02
20171106,0.022073,0.022906,0.011659,0.011702,3502,,0.02
20171105,0.028424,0.028485,0.016086,0.022024,1703,,0.02
20171104,0.022101,0.028775,0.020376,0.028478,1458,,0.02
20171103,0.028372,0.034533,0.022018,0.022158,4547,,0.03
20171102,0.026901,0.031509,0.023327,0.028410,2303,,0.03
20171101,0.033138,0.037323,0.025161,0.026871,4112,,0.03
20171031,0.043495,0.043608,0.027300,0.033427,12384,,0.04
20171030,0.034783,0.042951,0.026189,0.041654,29481,,0.03
