date,open,high,low,close,volume,marketcap,average
20180110,0.750090,1.03,0.711464,0.942990,2126720,137267000,0.87
20180109,0.656790,0.766205,0.636093,0.748817,1055040,120192000,0.70
20180108,0.700524,0.717076,0.584872,0.658425,782231,128196000,0.65
20180107,0.631573,0.715970,0.631573,0.711143,723127,115578000,0.67
20180106,0.596305,0.688420,0.530825,0.633217,935139,109124000,0.61
20180105,0.599149,0.664794,0.546954,0.611763,609276,109644000,0.61
20180104,0.627409,0.635041,0.558846,0.593909,828279,114816000,0.60
20180103,0.593104,0.664358,0.580576,0.604551,629227,108538000,0.62
20180102,0.524849,0.594076,0.498514,0.594076,516556,96047300,0.55
20180101,0.517180,0.556149,0.470321,0.522862,316066,94643900,0.51
20171231,0.488673,0.546523,0.483273,0.516592,155545,89427100,0.51
20171230,0.560088,0.561984,0.447051,0.491852,511578,102496000,0.50
20171229,0.549587,0.583016,0.507833,0.568759,454862,100574000,0.55
20171228,0.565429,0.599183,0.475706,0.546266,454056,103474000,0.54
20171227,0.607604,0.635110,0.515279,0.570353,547181,111192000,0.58
20171226,0.519674,0.729250,0.509036,0.590445,948154,95100400,0.62
20171225,0.382824,0.544623,0.376059,0.529409,518638,70056800,0.46
20171224,0.344576,0.409262,0.316956,0.379664,355201,63057400,0.36
20171223,0.288883,0.456665,0.288883,0.325640,304457,52865600,0.37
20171222,0.341866,0.345913,0.221188,0.285867,217716,62561500,0.28
20171221,0.326603,0.386552,0.299515,0.340782,445481,59768300,0.34
20171220,0.349494,0.367834,0.291650,0.332020,444772,63957300,0.33
20171219,0.267887,0.368442,0.256201,0.347239,576678,49023300,0.31
20171218,0.237327,0.267540,0.228154,0.267540,219038,43430800,0.25
20171217,0.212640,0.263867,0.198983,0.236738,229049,38913100,0.23
20171216,0.211727,0.225919,0.190237,0.212623,197102,38746000,0.21
20171215,0.217046,0.231006,0.208097,0.211991,120344,39719500,0.22
20171214,0.209661,0.223977,0.204932,0.216981,167817,38368000,0.21
20171213,0.211724,0.234835,0.202077,0.209147,174395,38745500,0.22
20171212,0.199422,0.211724,0.171344,0.211718,135248,36494200,0.19
20171211,0.193557,0.219089,0.180337,0.187156,247368,35420900,0.20
20171210,0.190042,0.224284,0.155908,0.194210,276943,34777600,0.19
20171209,0.156277,0.190970,0.144599,0.173222,230972,28598600,0.17
20171208,0.139115,0.158750,0.120903,0.156479,176608,25458100,0.14
20171207,0.126768,0.143522,0.108756,0.138875,171330,23198500,0.13
20171206,0.110088,0.132261,0.107047,0.131425,121014,20146000,0.12
20171205,0.109296,0.117572,0.104907,0.110089,72525,20001200,0.11
20171204,0.106037,0.114789,0.100789,0.109055,69204,19404700,0.11
20171203,0.107680,0.115966,0.089362,0.105827,106864,19705400,0.10
20171202,0.098621,0.110378,0.095811,0.108632,30494,18047700,0.10
20171201,0.084927,0.118557,0.082551,0.098394,101091,15541700,0.10
20171130,0.062608,0.088120,0.060010,0.085313,77827,11457300,0.07
20171129,0.069801,0.074302,0.059216,0.061952,50263,12773600,0.07
20171128,0.070166,0.075653,0.068546,0.069645,42668,12840400,0.07
20171127,0.073225,0.076292,0.066037,0.070023,58352,13400100,0.07
20171126,0.069338,0.075516,0.069338,0.073186,34086,12688900,0.07
20171125,0.064215,0.069699,0.062456,0.069270,31531,11751300,0.07
20171124,0.070792,0.071199,0.060885,0.064326,32167,12954900,0.07
20171123,0.064754,0.072382,0.064750,0.070820,23612,11850100,0.07
20171122,0.061922,0.073251,0.061115,0.064803,58745,11331600,0.07
20171121,0.060839,0.062343,0.053446,0.061219,37561,11133600,0.06
20171120,0.056958,0.060838,0.056465,0.060838,55915,10423300,0.06
20171119,0.058797,0.058797,0.053087,0.057015,41621,10759900,0.06
20171118,0.054003,0.059770,0.049566,0.058899,29280,9882550,0.05
20171117,0.052649,0.054666,0.050564,0.054113,29727,9634810,0.05
20171116,0.049618,0.053883,0.048358,0.052753,29996,9080040,0.05
20171115,0.049770,0.052220,0.048935,0.049391,17229,9107840,0.05
20171114,0.047139,0.051364,0.046051,0.049736,32363,8626490,0.05
20171113,0.043656,0.051862,0.043181,0.047148,22596,7988980,0.05
20171112,0.048964,0.048964,0.040745,0.043391,12198,8960420,0.04
20171111,0.048693,0.050590,0.045266,0.048981,35415,8910860,0.05
20171110,0.050422,0.053930,0.046914,0.048843,32444,9227300,0.05
20171109,0.049462,0.053363,0.047044,0.050204,40332,9051600,0.05
20171108,0.047168,0.051228,0.046143,0.049523,16387,8631780,0.05
20171107,0.045723,0.048795,0.044691,0.047348,18531,8367330,0.05
20171106,0.045603,0.049642,0.045359,0.045785,18481,8345360,0.05
20171105,0.047017,0.052903,0.046465,0.047293,16312,8604030,0.05
20171104,0.050784,0.053340,0.046140,0.047110,26605,9293480,0.05
20171103,0.049819,0.054520,0.048891,0.050936,54726,9116840,0.05
20171102,0.048697,0.060293,0.047681,0.049680,63890,8911600,0.05
20171101,0.052549,0.053126,0.045721,0.049045,30800,9616520,0.05
20171031,0.050901,0.053916,0.050648,0.052577,37787,9314930,0.05
20171030,0.056030,0.056226,0.049427,0.051041,118143,10253600,0.05
20171029,0.053159,0.057645,0.051807,0.056296,58799,9728060,0.05
20171028,0.049635,0.057299,0.049635,0.053278,24833,9083270,0.05
20171027,0.050713,0.052340,0.046787,0.049509,21919,9280500,0.05
20171026,0.049424,0.051451,0.048168,0.050717,40630,9044580,0.05
20171025,0.049704,0.049801,0.043787,0.049529,48780,9095900,0.05
20171024,0.047844,0.050494,0.045632,0.049635,23718,8755460,0.05
20171023,0.048398,0.052547,0.046195,0.047988,52323,8856890,0.05
20171022,0.049577,0.050532,0.047707,0.048474,36259,9072610,0.05
20171021,0.059118,0.059501,0.049520,0.049584,37859,10818600,0.05
20171020,0.055540,0.062285,0.055540,0.059263,25419,10163800,0.06
20171019,0.052655,0.056981,0.052181,0.055562,21265,9635920,0.05
20171018,0.058768,0.058784,0.051810,0.051985,29085,10754500,0.06
20171017,0.052139,0.058937,0.051448,0.058754,39294,9541450,0.06
20171016,0.048960,0.053311,0.048600,0.052182,42172,8959670,0.05
20171015,0.049154,0.053919,0.046608,0.048957,26766,8995240,0.05
20171014,0.048422,0.055536,0.045749,0.049092,43626,8861300,0.05
20171013,0.052930,0.052962,0.045324,0.048320,132096,9686290,0.05
20171012,0.051403,0.055038,0.050053,0.052815,17838,9406850,0.05
20171011,0.048226,0.054877,0.041230,0.051367,27233,8825280,0.05
20171010,0.050757,0.055065,0.040230,0.048223,84190,9288590,0.05
20171009,0.052182,0.054489,0.050313,0.050768,67758,9549320,0.05
20171008,0.050998,0.054342,0.050998,0.052171,30763,9332600,0.05
20171007,0.050568,0.055799,0.049340,0.055266,64351,9253990,0.05
20171006,0.050542,0.053465,0.048797,0.050559,30734,9249210,0.05
20171005,0.054607,0.054911,0.050544,0.050561,29414,9993010,0.05
20171004,0.058360,0.059363,0.051091,0.054568,31033,10679800,0.06
20171003,0.058225,0.063005,0.057051,0.058235,34266,10655100,0.06
20171002,0.057008,0.064239,0.053560,0.058234,53387,10432600,0.06
20171001,0.064448,0.068278,0.047028,0.057035,282936,11793900,0.06
20170930,0.062775,0.075608,0.062731,0.064412,21033,11487900,0.07
20170929,0.070152,0.072841,0.057246,0.062769,59391,12837800,0.07
20170928,0.071934,0.075521,0.069368,0.070200,36992,13163900,0.07
20170927,0.069730,0.075489,0.069465,0.072002,30015,12760600,0.07
20170926,0.067269,0.075624,0.064433,0.069881,28889,12310200,0.07
20170925,0.065417,0.070529,0.063727,0.067327,24863,11971400,0.07
20170924,0.064322,0.071883,0.061827,0.065368,32595,11770900,0.07
20170923,0.064996,0.073471,0.063874,0.064335,33214,11894300,0.07
20170922,0.065169,0.069475,0.061920,0.065163,13371,11926000,0.07
20170921,0.065440,0.075428,0.064284,0.065231,15560,11975600,0.07
20170920,0.067973,0.075529,0.064783,0.065730,18196,12439000,0.07
20170919,0.082541,0.082930,0.068066,0.068066,54543,15104900,0.08
20170918,0.079298,0.088625,0.077791,0.082307,78649,14511500,0.08
20170917,0.079024,0.083047,0.074125,0.079447,69593,14461400,0.08
20170916,0.092321,0.092321,0.071340,0.078986,51879,16894700,0.08
20170915,0.068911,0.095909,0.067049,0.092252,83159,12610800,0.08
20170914,0.090429,0.092789,0.068422,0.068422,54563,16548400,0.08
20170913,0.083810,0.114441,0.072139,0.090431,110017,15337200,0.09
20170912,0.077949,0.086583,0.072246,0.083707,36822,14264600,0.08
20170911,0.078303,0.083287,0.075102,0.076099,32528,14329400,0.08
20170910,0.074454,0.082679,0.069934,0.078007,36185,13625000,0.08
20170909,0.078605,0.083009,0.069038,0.074375,82024,14384700,0.08
20170908,0.079987,0.082170,0.070399,0.078441,47057,14637500,0.08
20170907,0.075683,0.083646,0.074154,0.079956,32931,13849900,0.08
20170906,0.082603,0.084207,0.068775,0.075771,47383,15116400,0.08
20170905,0.076681,0.083714,0.072702,0.082535,80401,14032600,0.08
20170904,0.082359,0.091782,0.071310,0.076921,68034,15071800,0.08
20170903,0.089501,0.099296,0.079423,0.083728,74746,16378600,0.09
20170902,0.085926,0.091881,0.081679,0.084105,112342,15724400,0.09
20170901,0.088756,0.093572,0.077940,0.082500,132836,16242300,0.09
20170831,0.099442,0.161270,0.060690,0.088753,431503,18197900,0.11
20170830,0.115076,0.119457,0.088157,0.099673,187878,21058900,0.10
20170829,0.105343,0.126122,0.105343,0.115139,105759,19277700,0.12
20170828,0.115116,0.119181,0.105097,0.105341,65936,21066200,0.11
20170827,0.144189,0.144189,0.114604,0.115012,134404,26386500,0.13
20170826,0.121597,0.144678,0.119608,0.144408,226503,22252200,0.13
20170825,0.124213,0.133323,0.118849,0.121369,128374,22731000,0.13
20170824,0.101964,0.125052,0.101601,0.124359,173696,18659400,0.11
20170823,0.082629,0.111508,0.082467,0.101924,46889,15121200,0.10
20170822,0.093701,0.109954,0.082120,0.082777,52775,17147300,0.10
20170821,0.099048,0.105981,0.093393,0.093393,101263,18125700,0.10
20170820,0.110607,0.115497,0.097657,0.099443,81129,20241200,0.11
20170819,0.115582,0.117625,0.092613,0.111098,101703,21151600,0.11
20170818,0.119964,0.122155,0.104010,0.115635,71481,21953400,0.11
20170817,0.109819,0.124461,0.108285,0.117214,100551,20096800,0.12
20170816,0.103779,0.116750,0.098114,0.109902,80301,18991600,0.11
20170815,0.101938,0.107544,0.094491,0.103673,130638,18654700,0.10
20170814,0.099496,0.111228,0.092964,0.101696,125851,18207700,0.10
20170813,0.105670,0.109283,0.090086,0.093590,130489,19337600,0.10
20170812,0.088144,0.105934,0.080753,0.105765,128603,16130300,0.09
20170811,0.092862,0.092966,0.054798,0.088264,117426,16993800,0.07
20170810,0.085041,0.093421,0.084489,0.092865,43290,15562600,0.09
20170809,0.094718,0.099324,0.082860,0.085085,47388,17333400,0.09
20170808,0.095745,0.104421,0.090247,0.094762,47391,17521400,0.10
20170807,0.097793,0.103388,0.083779,0.095637,78333,17896000,0.09
20170806,0.087156,0.113757,0.082274,0.097897,53971,15949500,0.10
20170805,0.073752,0.092337,0.073279,0.087137,43933,13496600,0.08
20170804,0.073930,0.081617,0.068334,0.073843,44503,13529200,0.07
20170803,0.072109,0.079723,0.068041,0.075360,24363,13195900,0.07
20170802,0.079543,0.081441,0.068204,0.072000,30321,14556300,0.07
20170801,0.071025,0.080369,0.065620,0.079506,26209,12997500,0.07
20170731,0.068855,0.074096,0.065656,0.071001,18705,12600500,0.07
20170730,0.071253,0.074793,0.066840,0.068793,42768,13039200,0.07
20170729,0.064309,0.075124,0.060466,0.070465,14483,11768500,0.07
20170728,0.075873,0.079041,0.061655,0.064286,52290,13884800,0.07
20170727,0.066983,0.076527,0.066833,0.075685,29996,12258000,0.07
20170726,0.069499,0.073098,0.061096,0.066832,44502,12718300,0.07
20170725,0.074794,0.078892,0.060438,0.068919,81353,13687300,0.07
