date,open,high,low,close,volume,marketcap,average
20180110,13.04,13.04,11.41,12.74,62348700,1303830000,12.22
20180109,13.53,14.11,12.55,12.99,62959200,1353300000,13.33
20180108,12.85,13.73,11.57,13.63,72190300,1284770000,12.65
20180107,12.87,13.53,12.27,12.95,56240800,1287400000,12.90
20180106,12.02,13.07,11.44,12.86,59738700,1201900000,12.25
20180105,12.45,13.25,11.77,12.06,65668300,1245140000,12.51
20180104,13.06,13.10,11.87,12.54,65343400,1306410000,12.48
20180103,13.32,13.73,12.55,12.99,53810900,1331820000,13.14
20180102,12.54,13.38,12.33,13.35,61136300,1253640000,12.86
20180101,12.63,12.70,11.77,12.57,43302300,1262600000,12.23
20171231,11.70,12.80,11.54,12.60,50113900,1169780000,12.17
20171230,13.64,13.79,10.95,11.81,49173200,1363620000,12.37
20171229,12.87,14.03,12.44,13.64,64926900,1286750000,13.23
20171228,13.58,13.62,11.73,12.71,48273000,1358300000,12.68
20171227,14.32,14.43,13.18,13.58,54343300,1432160000,13.80
20171226,14.31,15.15,13.68,14.20,65504500,1431340000,14.41
20171225,13.93,14.46,13.13,14.28,65545300,1393480000,13.80
20171224,14.47,14.54,12.25,13.81,59222600,1447000000,13.39
20171223,12.67,15.79,12.48,14.27,88401100,1267050000,14.13
20171222,16.14,16.42,9.82,12.52,71699500,1613900000,13.12
20171221,15.29,16.53,14.54,16.03,90875600,1529020000,15.54
20171220,16.02,16.26,13.90,15.21,81905700,1602310000,15.08
20171219,15.63,18.07,14.51,15.89,114641000,1563340000,16.29
20171218,13.63,15.72,13.09,15.61,102357000,1363160000,14.41
20171217,13.39,14.16,13.17,13.54,64376200,1339200000,13.66
20171216,13.56,13.73,12.81,13.40,69311000,1355530000,13.27
20171215,13.55,14.08,11.76,13.09,95357500,1354620000,12.92
20171214,13.56,14.02,12.43,13.64,55002000,1355560000,13.22
20171213,15.23,15.62,13.50,13.65,75995500,1523380000,14.56
20171212,11.23,15.20,10.89,14.86,103848000,1122860000,13.04
20171211,9.73,11.33,9.65,11.22,74140500,972864000,10.49
20171210,8.76,10.46,7.60,9.76,57336900,875585000,9.03
20171209,8.41,9.87,7.86,8.72,47394900,841212000,8.87
20171208,8.71,8.73,7.43,8.40,45781100,871406000,8.08
20171207,8.52,9.50,8.01,8.52,61751500,852136000,8.75
20171206,7.38,8.43,6.93,8.43,52074900,738347000,7.68
20171205,6.69,7.68,6.62,7.43,40875800,668740000,7.15
20171204,6.21,6.69,6.03,6.69,30419300,620558000,6.36
20171203,6.09,6.60,5.84,6.20,33036700,609449000,6.22
20171202,5.79,6.43,5.75,6.11,30325700,579354000,6.09
20171201,4.84,5.80,4.61,5.80,26090100,483939000,5.21
20171130,5.23,5.33,4.39,4.88,25549500,523239000,4.86
20171129,5.91,6.16,4.97,5.17,30996500,590960000,5.56
20171128,5.62,5.93,5.56,5.93,26201500,562374000,5.74
20171127,5.67,5.78,5.48,5.65,25029600,567162000,5.63
20171126,5.36,5.79,5.35,5.68,25667300,535981000,5.57
20171125,5.22,5.37,5.13,5.35,20520600,521531000,5.25
20171124,5.19,5.27,5.03,5.23,22424900,519100000,5.15
20171123,5.29,5.34,5.18,5.19,21305100,529435000,5.26
20171122,5.20,5.57,5.16,5.29,26343100,519834000,5.37
20171121,5.26,5.28,4.99,5.19,23353900,525616000,5.13
20171120,5.13,5.42,5.06,5.27,22272000,512582000,5.24
20171119,5.28,5.47,5.02,5.12,20869400,528278000,5.24
20171118,4.77,5.42,4.65,5.30,26020400,476545000,5.04
20171117,4.75,4.97,4.61,4.78,18777000,474592000,4.79
20171116,5.07,5.10,4.71,4.76,24087100,506504000,4.90
20171115,5.05,5.27,4.80,5.05,25851400,505269000,5.04
20171114,4.40,5.09,4.38,5.03,19374900,439602000,4.73
20171113,3.69,4.48,3.69,4.40,12493200,369368000,4.08
20171112,4.10,4.13,3.57,3.70,12279900,410250000,3.85
20171111,4.23,4.46,4.04,4.12,12304600,422815000,4.25
20171110,4.92,5.03,4.09,4.24,14425500,491960000,4.56
20171109,4.51,5.22,4.47,4.91,20982300,450694000,4.84
20171108,3.68,4.82,3.67,4.50,20540000,368185000,4.25
20171107,3.52,3.72,3.42,3.69,11312200,352178000,3.57
20171106,3.46,3.65,3.36,3.52,12291000,345746000,3.50
20171105,3.61,3.62,3.39,3.45,9798490,360517000,3.50
20171104,3.65,3.79,3.44,3.62,11619500,365254000,3.62
20171103,3.21,3.97,3.02,3.68,14090800,320550000,3.50
20171102,2.92,3.95,2.65,3.19,14949200,292033000,3.30
20171101,3.23,3.23,2.67,2.89,11933800,323419000,2.95
20171031,3.47,3.50,3.17,3.24,9895450,347320000,3.33
20171030,3.55,3.61,3.43,3.48,8523780,355140000,3.52
20171029,3.46,3.64,3.45,3.54,9046840,345825000,3.54
20171028,3.54,3.60,3.45,3.46,8103840,354417000,3.53
20171027,3.62,3.68,3.52,3.54,6714780,362311000,3.60
20171026,3.72,3.79,3.54,3.62,8321870,371705000,3.67
20171025,3.76,3.77,3.48,3.70,8533500,376245000,3.62
20171024,3.67,3.98,3.59,3.76,8703160,366774000,3.79
20171023,3.58,3.71,3.35,3.67,8621370,358001000,3.53
20171022,3.58,3.66,3.47,3.58,8491900,358200000,3.57
20171021,3.64,3.76,3.43,3.58,10666600,364477000,3.59
20171020,3.89,3.97,3.63,3.66,10830100,389091000,3.80
20171019,4.04,4.12,3.80,3.89,8840030,404068000,3.96
20171018,3.93,4.10,3.66,4.04,7283440,392635000,3.88
20171017,4.04,4.05,3.84,3.92,4954490,404005000,3.94
20171016,3.80,4.14,3.65,4.02,4972740,380320000,3.89
20171015,4.01,4.02,3.68,3.80,4384340,401032000,3.85
20171014,3.98,4.09,3.81,4.00,5190930,397686000,3.95
20171013,3.69,4.03,3.59,3.97,6777070,369201000,3.81
20171012,4.18,4.20,3.69,3.69,6289170,417611000,3.95
20171011,4.11,4.41,4.08,4.18,7296340,410915000,4.25
20171010,4.11,4.26,3.92,4.12,5675270,410737000,4.09
20171009,4.44,4.63,4.01,4.13,6698160,443937000,4.32
20171008,5.01,5.04,4.44,4.44,7717430,501163000,4.74
20171007,4.96,5.04,4.91,5.02,6760300,495816000,4.97
20171006,4.97,5.10,4.91,4.97,6574960,497017000,5.00
20171005,4.92,5.04,4.76,4.97,6804000,491795000,4.90
20171004,4.74,5.08,4.71,4.91,8679860,474477000,4.89
20171003,4.87,5.00,4.67,4.73,6975040,486590000,4.83
20171002,4.97,4.98,4.81,4.85,7422400,497344000,4.89
20171001,5.03,5.05,4.84,4.97,8233020,502985000,4.95
20170930,4.93,5.20,4.93,5.04,7480680,493143000,5.06
20170929,4.77,5.04,4.39,4.93,8515820,476743000,4.71
20170928,5.17,5.17,4.73,4.78,8795790,516674000,4.95
20170927,4.77,5.19,4.77,5.17,11447500,477461000,4.98
20170926,4.23,4.86,4.23,4.79,7713420,422807000,4.54
20170925,3.97,4.30,3.92,4.23,5218940,396943000,4.11
20170924,3.97,3.98,3.80,3.97,5012110,396513000,3.89
20170923,3.76,3.99,3.71,3.97,4950050,375579000,3.85
