date,open,high,low,close,volume,marketcap,average
20180110,0.433076,0.506221,0.405636,0.433143,20027,2358140,0.46
20180109,0.463558,0.620850,0.413500,0.432509,9869,2507630,0.52
20180108,0.671678,0.746638,0.429130,0.464824,6608,3609760,0.59
20180107,0.487344,0.731299,0.442825,0.678734,21731,2600190,0.59
20180106,0.442835,0.517562,0.354189,0.496160,16404,2345420,0.44
20180105,0.355356,0.471572,0.288914,0.442096,18145,1868730,0.38
20180104,0.233443,0.389266,0.182571,0.355502,11230,1218510,0.29
20180103,0.266601,0.277560,0.172917,0.232171,1265,1381530,0.23
20180102,0.225535,0.273155,0.206986,0.267551,128734,1160120,0.24
20180101,0.251995,0.290607,0.206060,0.228479,130445,1286470,0.25
20171231,0.160006,0.281977,0.154358,0.258793,125019,810638,0.22
20171230,0.289344,0.289344,0.130024,0.157309,109019,1449150,0.21
20171229,0.123962,0.292790,0.119951,0.290079,139200,618485,0.21
20171228,0.139019,0.173095,0.114186,0.137146,115775,688176,0.14
20171227,0.167831,0.167831,0.109521,0.134498,125914,824155,0.14
20171226,0.122578,0.192280,0.115552,0.158228,134471,597206,0.15
20171225,0.096329,0.126500,0.089626,0.122703,112119,465598,0.11
20171224,0.095723,0.128238,0.082085,0.095339,108125,458953,0.11
20171223,0.087804,0.125654,0.083559,0.094677,118875,417702,0.10
20171222,0.090329,0.102749,0.059420,0.084936,123960,426180,0.08
20171221,0.093459,0.098026,0.076048,0.093301,70511,437280,0.09
20171220,0.096542,0.103261,0.084769,0.093215,133060,448135,0.09
20171219,0.120531,0.133460,0.089515,0.096108,139326,554868,0.11
20171218,0.127233,0.134885,0.097236,0.120429,33980,580724,0.12
20171217,0.125624,0.145311,0.115083,0.126849,108044,568551,0.13
20171216,0.116849,0.135347,0.116049,0.125607,161891,524413,0.13
20171215,0.131803,0.143220,0.112449,0.114583,80301,586380,0.13
20171214,0.111829,0.133228,0.093377,0.131605,128561,493268,0.11
20171213,0.136138,0.139512,0.082379,0.097614,55384,595457,0.11
20171212,0.181621,0.191852,0.127328,0.136025,143494,787411,0.16
20171211,0.164595,0.227112,0.153296,0.181040,151192,707193,0.19
20171210,0.152622,0.196199,0.090988,0.163353,122790,649874,0.14
20171209,0.179671,0.185754,0.139871,0.149769,127581,758119,0.16
20171208,0.175307,0.213748,0.150049,0.179852,135077,733104,0.18
20171207,0.173516,0.187868,0.147592,0.174895,153225,718242,0.17
20171206,0.175014,0.190719,0.158637,0.178066,128832,717040,0.17
20171205,0.175494,0.183436,0.171805,0.175402,97988,711395,0.18
20171204,0.174808,0.178985,0.155093,0.175151,91173,701165,0.17
20171203,0.158539,0.184925,0.152195,0.174119,92505,629385,0.17
20171202,0.164462,0.176259,0.147681,0.154357,89283,646135,0.16
20171201,0.154670,0.169174,0.137950,0.164483,98772,601212,0.15
20171130,0.120353,0.164160,0.120353,0.152638,81967,462758,0.14
20171129,0.119642,0.179214,0.116380,0.118533,43673,454934,0.15
20171128,0.133347,0.138197,0.105012,0.119761,108874,501604,0.12
20171127,0.163313,0.173763,0.096154,0.133002,162458,607656,0.13
20171126,0.155523,0.175171,0.155478,0.161701,154763,572294,0.17
20171125,0.151543,0.164383,0.147911,0.155749,146535,551187,0.16
20171124,0.155501,0.166009,0.150711,0.151850,140111,559283,0.16
20171123,0.167490,0.184308,0.147196,0.155714,133842,595702,0.17
20171122,0.153762,0.167609,0.144739,0.166723,129669,540294,0.16
20171121,0.142377,0.171800,0.137980,0.141037,137785,494263,0.15
20171120,0.147918,0.173194,0.136984,0.149899,132398,507379,0.16
