date,open,high,low,close,volume,marketcap,average
20180110,0.013381,0.014279,0.012133,0.013275,7978,,0.01
20180109,0.018365,0.018662,0.013053,0.013364,11656,,0.02
20180108,0.023033,0.023808,0.013282,0.018412,16300,,0.02
20180107,0.032305,0.043209,0.017400,0.023051,21638,,0.03
20180106,0.044740,0.072711,0.026307,0.032324,45967,,0.05
20180105,0.028073,0.044583,0.023686,0.044583,218802,,0.03
20180104,0.017556,0.029007,0.014209,0.028108,76939,,0.02
20180103,0.008928,0.017797,0.008928,0.017491,16548,,0.01
20180102,0.009960,0.015662,0.008449,0.008838,7708,,0.01
20180101,0.010337,0.011973,0.007830,0.009960,9986,,0.01
20171231,0.005314,0.011057,0.004565,0.010330,8900,,0.01
20171230,0.003837,0.005638,0.003280,0.005371,2419,,0.00
20171229,0.010071,0.011103,0.003877,0.004368,6765,,0.01
20171228,0.002895,0.037203,0.002202,0.010016,17418,,0.02
20171227,0.002632,0.003056,0.002613,0.002901,153,,0.00
20171226,0.002648,0.003162,0.002590,0.002630,382,,0.00
20171225,0.003140,0.003346,0.001905,0.002651,3142,,0.00
20171224,0.002672,0.003123,0.002256,0.003123,311,,0.00
20171223,0.002403,0.003038,0.002337,0.002641,871,,0.00
20171222,0.002741,0.003222,0.002200,0.002381,470,,0.00
20171221,0.002646,0.003499,0.002590,0.002731,270,,0.00
20171220,0.003622,0.003622,0.002289,0.002639,1301,,0.00
20171219,0.004245,0.004903,0.003058,0.003626,1839,,0.00
20171218,0.003884,0.004700,0.003726,0.004245,855,,0.00
20171217,0.004575,0.005358,0.002959,0.003878,2266,,0.00
20171216,0.002727,0.007114,0.002654,0.004553,4295,,0.00
20171215,0.002133,0.006533,0.002133,0.002724,1167,,0.00
20171214,0.002285,0.002864,0.002066,0.002130,198,,0.00
20171213,0.003093,0.003227,0.002219,0.002292,708,,0.00
20171212,0.002537,0.003318,0.002480,0.003091,1191,,0.00
20171211,0.002579,0.002855,0.002475,0.002530,1223,,0.00
20171210,0.003899,0.003899,0.002349,0.002597,528,,0.00
20171209,0.002618,0.004002,0.002436,0.003884,500,,0.00
20171208,0.002990,0.003338,0.002373,0.002621,1127,,0.00
20171207,0.002582,0.003041,0.002487,0.002983,759,,0.00
20171206,0.003327,0.004793,0.002546,0.002587,2782,,0.00
20171205,0.002119,0.003456,0.002119,0.003334,1436,,0.00
20171204,0.002493,0.002992,0.001864,0.002114,965,,0.00
20171203,0.002513,0.003091,0.002302,0.002485,762,,0.00
20171202,0.003174,0.003794,0.002507,0.002511,1023,,0.00
20171201,0.003536,0.003598,0.002754,0.003177,233,,0.00
20171130,0.002629,0.003593,0.002555,0.003553,739,,0.00
20171129,0.002505,0.003039,0.002428,0.002589,127,,0.00
20171128,0.003296,0.003941,0.002383,0.002508,3336,,0.00
20171127,0.003337,0.005118,0.002624,0.003287,6210,,0.00
20171126,0.003348,0.003716,0.002763,0.003337,8188,,0.00
20171125,0.003131,0.003932,0.002429,0.003349,4629,,0.00
20171124,0.003505,0.005512,0.003132,0.003137,8964,,0.00
20171123,0.003658,0.005896,0.003272,0.003510,11454,,0.00
20171122,0.002678,0.003674,0.002584,0.003658,652,,0.00
20171121,0.003092,0.003092,0.002460,0.002672,362,,0.00
20171120,0.002963,0.005006,0.002099,0.003092,618,,0.00
20171119,0.003373,0.003478,0.002818,0.002966,197,,0.00
20171118,0.003297,0.004343,0.002968,0.003379,901,,0.00
20171117,0.003303,0.003947,0.002187,0.003310,2025,,0.00
20171116,0.003537,0.003697,0.003033,0.003308,199,,0.00
20171115,0.003466,0.003661,0.003036,0.003521,300,,0.00
20171114,0.003333,0.003550,0.002779,0.003464,408,,0.00
20171113,0.003517,0.003793,0.003172,0.003326,299,,0.00
20171112,0.004442,0.004442,0.003392,0.003512,608,,0.00
20171111,0.004233,0.004510,0.004103,0.004444,481,,0.00
20171110,0.003653,0.005306,0.003653,0.004247,1954,,0.00
