date,open,high,low,close,volume,marketcap,average
20180110,1.60,2.34,1.38,1.97,2876160,,1.86
20180109,1.60,1.70,1.41,1.60,1600140,,1.55
20180108,1.31,1.70,1.18,1.56,1188650,,1.44
20180107,1.38,1.38,1.22,1.31,1208190,,1.30
20180106,1.37,1.40,1.28,1.38,778012,,1.34
20180105,1.31,1.42,1.20,1.37,742482,,1.31
20180104,1.10,1.31,1.06,1.31,830050,,1.19
20180103,1.05,1.23,1.03,1.09,878860,,1.13
20180102,0.945522,1.07,0.918933,1.05,648112,,0.99
20180101,0.978552,0.996727,0.854051,0.945596,896901,,0.93
20171231,0.892697,1.02,0.810384,0.974781,773155,,0.92
20171230,1.01,1.01,0.846797,0.902444,559276,,0.93
20171229,1.02,1.11,0.995206,1.02,613138,,1.05
20171228,1.09,1.09,0.956119,1.01,611369,,1.02
20171227,1.13,1.18,1.01,1.09,994937,,1.09
20171226,0.995975,1.16,0.988156,1.12,352053,,1.07
20171225,1.05,1.05,0.967169,0.996991,757426,,1.01
20171224,1.17,1.18,0.893253,1.04,1262330,,1.04
20171223,1.07,1.34,0.903332,1.15,635980,,1.12
20171222,1.29,1.30,0.811616,1.06,743167,,1.06
20171221,1.32,1.38,1.07,1.29,828975,,1.23
20171220,1.49,1.49,1.27,1.31,740030,,1.38
20171219,1.61,1.62,1.34,1.50,1109380,,1.48
20171218,1.48,1.67,1.41,1.61,1217110,,1.54
20171217,1.54,1.58,1.47,1.49,1202940,,1.52
20171216,1.37,1.59,1.21,1.54,890110,,1.40
20171215,0.885940,1.41,0.885940,1.37,1183770,,1.15
20171214,0.835497,0.903558,0.829667,0.870314,802019,,0.87
20171213,0.849052,0.970468,0.817718,0.838187,325172,,0.89
20171212,0.665035,1.04,0.662365,0.850371,711145,,0.85
20171211,0.635034,0.730236,0.615563,0.643454,382695,,0.67
20171210,0.857756,0.950036,0.526675,0.643600,707410,,0.74
20171209,0.781086,1.19,0.583767,0.894515,946136,,0.89
20171208,0.967464,1.07,0.655962,0.772967,322282,,0.86
20171207,1.17,1.24,0.876699,0.965205,555743,,1.06
20171206,1.05,1.19,1.04,1.19,665262,,1.11
20171205,1.20,1.21,1.04,1.04,895469,,1.12
20171204,0.688986,1.39,0.688341,1.18,413381,,1.04
20171203,0.751444,0.772566,0.607641,0.704285,286589,,0.69
20171202,0.861170,0.974438,0.660284,0.742755,286120,,0.82
20171201,0.949344,1.03,0.691944,0.815279,334083,,0.86
20171130,1.08,1.28,0.854888,0.954072,225431,,1.07
20171129,1.03,1.71,0.990873,1.06,564563,,1.35
20171128,1.51,1.53,0.988857,1.03,412466,,1.26
20171127,1.50,1.59,1.45,1.51,727076,,1.52
20171126,1.57,1.76,1.48,1.50,647399,,1.62
20171125,1.85,1.87,1.17,1.57,417766,,1.52
20171124,1.80,1.90,1.77,1.85,1307740,,1.83
20171123,1.83,1.91,1.80,1.80,706836,,1.85
20171122,1.84,1.98,1.79,1.83,490922,,1.89
20171121,1.82,1.96,1.72,1.83,512453,,1.84
20171120,1.89,1.90,1.80,1.86,642292,,1.85
