date,open,high,low,close,volume,marketcap,average
20180110,0.323927,0.324642,0.291385,0.316016,334,2602810,0.31
20180109,0.334630,0.342820,0.316711,0.323503,4,2688820,0.33
20180108,0.362829,0.364189,0.324169,0.335544,8961,2915400,0.34
20180107,0.362458,0.394385,0.349302,0.363337,10027,2912420,0.37
20180106,0.390632,0.393222,0.344764,0.362724,831,3138800,0.37
20180105,0.337477,0.393627,0.331972,0.390321,2187,2711700,0.36
20180104,0.338135,0.362482,0.322949,0.337410,12957,2716980,0.34
20180103,0.329650,0.352280,0.326011,0.336294,12886,2648800,0.34
20180102,0.328489,0.338888,0.303791,0.330825,304,2639470,0.32
20180101,0.335552,0.335781,0.302710,0.328515,24,2696220,0.32
20171231,0.305147,0.341811,0.294539,0.334258,13834,2451920,0.32
20171230,0.337462,0.337575,0.292161,0.308479,17981,2711570,0.31
20171229,0.317707,0.350542,0.312196,0.338313,25,2552840,0.33
20171228,0.326921,0.328305,0.291245,0.314452,15039,2626870,0.31
20171227,0.332577,0.375323,0.313124,0.327608,2157,2672320,0.34
20171226,0.319825,0.338571,0.284389,0.332336,19619,2569850,0.31
20171225,0.197358,0.321999,0.185863,0.320152,21,1585810,0.25
20171224,0.204636,0.204636,0.176060,0.195329,1143,1644290,0.19
20171223,0.193193,0.219367,0.190478,0.202401,1185,1552340,0.20
20171222,0.220140,0.222308,0.160357,0.191386,1120,1768860,0.19
20171221,0.230930,0.243586,0.212208,0.219379,1284,1855570,0.23
20171220,0.246839,0.249874,0.220859,0.230327,1348,1983400,0.24
20171219,0.304223,0.305313,0.238891,0.247082,1446,2444490,0.27
20171218,0.306302,0.306787,0.290553,0.303966,2720,2461190,0.30
20171217,0.312017,0.319889,0.302272,0.305377,1380,2507110,0.31
20171216,0.291173,0.318979,0.287496,0.311976,6247,2339630,0.30
20171215,0.273696,0.298231,0.273643,0.290765,126,2199200,0.29
20171214,0.270195,0.281552,0.267143,0.273285,143,2171070,0.27
20171213,0.310968,0.315095,0.269153,0.271065,626,2498690,0.29
20171212,0.303060,0.319656,0.295955,0.310708,11532,2435140,0.31
20171211,0.274293,0.315075,0.273094,0.302090,11212,2204000,0.29
20171210,0.345863,0.345863,0.263432,0.276288,2907,2779080,0.30
20171209,0.334384,0.348235,0.287055,0.344467,1247,2686840,0.32
20171208,0.346934,0.356336,0.255164,0.334722,12066,2787680,0.31
20171207,0.329661,0.349610,0.281916,0.346120,1956,2648890,0.32
20171206,0.293221,0.344334,0.293221,0.330229,980,2356090,0.32
