date,open,high,low,close,volume,marketcap,average
20180110,0.483390,0.540054,0.433591,0.488040,2153560,84646000,0.49
20180109,0.465761,0.550237,0.435819,0.482956,3272410,81559100,0.49
20180108,0.453925,0.505436,0.383413,0.464707,2489530,79486500,0.44
20180107,0.327297,0.571300,0.327297,0.450623,2038230,57312700,0.45
20180106,0.283556,0.322295,0.255951,0.322295,727140,49653200,0.29
20180105,0.261309,0.295120,0.240452,0.282928,635810,45757600,0.27
20180104,0.242601,0.357586,0.237589,0.272351,1393860,42481600,0.30
20180103,0.120317,0.244446,0.120288,0.243727,1079860,,0.18
20180102,0.124113,0.135014,0.117600,0.120259,302557,,0.13
20180101,0.137824,0.138217,0.118399,0.124098,271305,,0.13
20171231,0.124391,0.138976,0.111403,0.135743,404148,,0.13
20171230,0.123570,0.128964,0.110700,0.124849,321704,,0.12
20171229,0.142693,0.149070,0.114430,0.123964,489798,,0.13
20171228,0.164305,0.167653,0.109734,0.134091,600590,,0.14
20171227,0.145675,0.179403,0.130146,0.163665,445445,,0.15
20171226,0.137655,0.151953,0.124937,0.145198,283195,,0.14
20171225,0.110504,0.151411,0.107184,0.137600,382503,,0.13
20171224,0.122555,0.122555,0.089914,0.109287,194470,,0.11
20171223,0.104800,0.134256,0.087246,0.115031,212328,,0.11
20171222,0.124641,0.125505,0.079833,0.103909,77358,,0.10
20171221,0.119449,0.145857,0.096981,0.124438,261567,,0.12
20171220,0.114097,0.183783,0.101077,0.119023,290482,,0.14
20171219,0.113243,0.124184,0.089879,0.114219,197965,,0.11
20171218,0.092178,0.126682,0.080995,0.114584,151573,,0.10
