date,open,high,low,close,volume,marketcap,average
20180110,0.000292,0.000595,0.000281,0.000450,2597,,0.00
20180109,0.000452,0.000463,0.000288,0.000292,252,,0.00
20180108,0.000489,0.000490,0.000315,0.000453,1463,,0.00
20180107,0.000516,0.000516,0.000318,0.000489,1123,,0.00
20180106,0.000340,0.000518,0.000327,0.000516,336,,0.00
20180105,0.000304,0.000342,0.000299,0.000339,709,,0.00
20180104,0.000304,0.000455,0.000287,0.000304,1936,,0.00
20180103,0.000297,0.000306,0.000147,0.000303,5,,0.00
20180102,0.000270,0.000304,0.000138,0.000298,187,,0.00
20180101,0.000280,0.000280,0.000258,0.000270,3,,0.00
20171231,0.000127,0.000285,0.000126,0.000279,24,,0.00
20171230,0.000290,0.000290,0.000122,0.000129,3,,0.00
20171229,0.000289,0.000303,0.000283,0.000291,5,,0.00
20171228,0.000310,0.000312,0.000273,0.000286,9,,0.00
20171227,0.000300,0.000311,0.000300,0.000311,2,,0.00
20171224,0.000292,0.000292,0.000251,0.000269,4,,0.00
20171223,0.000302,0.000313,0.000288,0.000289,4,,0.00
20171221,0.000165,0.000174,0.000151,0.000154,80,,0.00
20171220,0.000172,0.000357,0.000158,0.000164,92,,0.00
20171219,0.000383,0.000384,0.000355,0.000364,11,,0.00
20171218,0.000383,0.000385,0.000365,0.000382,13,,0.00
20171217,0.000390,0.000399,0.000196,0.000381,9,,0.00
20171216,0.000353,0.000393,0.000184,0.000389,15,,0.00
20171215,0.000332,0.000529,0.000332,0.000352,20,,0.00
20171214,0.000164,0.000503,0.000162,0.000331,6407,,0.00
20171213,0.000168,0.000168,0.000163,0.000164,2,,0.00
20171212,0.000168,0.000178,0.000164,0.000173,6,,0.00
20171211,0.000152,0.000175,0.000152,0.000168,6,,0.00
20171210,0.000301,0.000301,0.000138,0.000154,21,,0.00
20171209,0.000325,0.000330,0.000271,0.000300,12,,0.00
20171208,0.000174,0.000326,0.000141,0.000326,1843,,0.00
20171207,0.000137,0.000173,0.000136,0.000173,76,,0.00
20171206,0.000117,0.000138,0.000117,0.000138,16,,0.00
20171205,0.000117,0.000119,0.000115,0.000117,5,,0.00
20171204,0.000112,0.000116,0.000109,0.000116,116,,0.00
20171203,0.000110,0.000118,0.000106,0.000112,11,,0.00
20171202,0.000109,0.000112,0.000107,0.000110,55,,0.00
20171201,0.000200,0.000204,0.000101,0.000109,56,,0.00
20171130,0.000099,0.000203,0.000090,0.000201,203,,0.00
20171128,0.000098,0.000100,0.000097,0.000100,1,,0.00
20171127,0.000095,0.000193,0.000095,0.000097,129,,0.00
20171126,0.000087,0.000095,0.000087,0.000093,3,,0.00
20171125,0.000164,0.000170,0.000087,0.000087,3,,0.00
20171124,0.000161,0.000167,0.000079,0.000165,100,,0.00
20171123,0.000082,0.000164,0.000081,0.000161,158,,0.00
20171122,0.000081,0.000083,0.000081,0.000082,29,,0.00
20171121,0.000082,0.000083,0.000078,0.000083,1,,0.00
20171120,0.000161,0.000161,0.000079,0.000082,2,,0.00
20171119,0.000155,0.000162,0.000154,0.000161,1,,0.00
20171118,0.000077,0.000078,0.000075,0.000078,20,,0.00
20171117,0.000078,0.000080,0.000076,0.000077,20,,0.00
20171116,0.000146,0.000149,0.000074,0.000079,32,,0.00
20171115,0.000132,0.000146,0.000132,0.000145,25,,0.00
20171114,0.000131,0.000134,0.000129,0.000132,5,,0.00
20171113,0.000059,0.000135,0.000059,0.000130,219,,0.00
20171112,0.000127,0.000129,0.000111,0.000124,1,,0.00
20171111,0.000066,0.000130,0.000063,0.000127,2,,0.00
20171110,0.000143,0.000147,0.000066,0.000066,14,,0.00
20171109,0.000075,0.000145,0.000071,0.000142,5,,0.00
20171108,0.000071,0.000150,0.000071,0.000075,84,,0.00
20171107,0.000139,0.000144,0.000070,0.000071,1,,0.00
20171106,0.000148,0.000148,0.000070,0.000139,141,,0.00
20171105,0.000148,0.000151,0.000146,0.000148,3,,0.00
20171104,0.000072,0.000151,0.000070,0.000148,1,,0.00
20171103,0.000140,0.000149,0.000071,0.000072,516,,0.00
20171102,0.000067,0.000142,0.000067,0.000141,2,,0.00
20171101,0.000064,0.000067,0.000064,0.000067,137,,0.00
20171030,0.000062,0.000062,0.000061,0.000061,61,,0.00
20171029,0.000057,0.000063,0.000057,0.000062,62,,0.00
20171028,0.000114,0.000115,0.000057,0.000057,3,,0.00
20171027,0.000059,0.000060,0.000057,0.000058,12,,0.00
20171026,0.000057,0.000060,0.000057,0.000059,12,,0.00
20171025,0.000055,0.000114,0.000054,0.000057,14,,0.00
20171024,0.000059,0.000059,0.000055,0.000055,36,,0.00
20171023,0.000120,0.000121,0.000057,0.000059,64,,0.00
20171022,0.000116,0.000121,0.000116,0.000120,5,,0.00
20171018,0.000056,0.000056,0.000053,0.000053,2,,0.00
20171017,0.000058,0.000058,0.000055,0.000056,8,,0.00
20171016,0.000057,0.000058,0.000057,0.000058,2118,,0.00
20171013,0.000109,0.000118,0.000108,0.000112,1,,0.00
20171012,0.000145,0.000145,0.000097,0.000108,22,,0.00
20171011,0.000095,0.000146,0.000094,0.000145,3,,0.00
