date,open,high,low,close,volume,marketcap,average
20180110,1.04,1.26,0.954076,1.11,22926,2239250,1.11
20180109,1.10,1.22,0.956966,1.04,11655,2368520,1.09
20180108,1.20,1.41,1.07,1.10,31493,2579250,1.24
20180107,0.840048,1.31,0.840048,1.20,20813,1805840,1.08
20180106,0.944209,2.04,0.793198,0.801563,56648,2029750,1.42
20180105,1.28,1.48,0.850709,0.943506,108924,2749760,1.17
20180104,2.87,3.42,1.32,1.42,326882,6178270,2.37
20180103,3.58,5.36,1.73,3.35,371833,7685790,3.54
20180102,2.44,3.57,2.16,3.34,204078,5243650,2.87
20180101,2.63,5.70,2.06,2.35,147812,5652090,3.88
20171231,2.00,2.65,1.80,2.63,158466,4298590,2.23
20171230,1.91,2.22,1.66,2.02,188040,4110200,1.94
20171229,1.07,2.46,1.06,1.86,183742,2302070,1.76
20171228,1.03,1.41,0.754488,1.40,69873,2205210,1.08
20171227,0.751606,1.38,0.746317,0.966392,103091,1615720,1.06
20171226,0.625757,0.810485,0.559170,0.751095,25722,1345180,0.68
20171225,0.631520,0.711264,0.554566,0.626453,9296,1357570,0.63
20171224,0.556238,0.695892,0.525972,0.625029,13395,1195740,0.61
20171223,0.482110,0.659143,0.456684,0.550313,6432,1036390,0.56
20171222,0.568209,0.573365,0.347778,0.477609,8637,1221470,0.46
20171221,0.512721,0.672232,0.474590,0.564414,11428,1102190,0.57
20171220,0.702236,0.773974,0.457341,0.511509,27514,1509590,0.62
20171219,0.694381,0.887179,0.598587,0.702924,17340,1492700,0.74
20171218,0.591190,0.809228,0.570883,0.693801,14016,1270870,0.69
20171217,0.706826,0.825620,0.586929,0.589628,10930,1519450,0.71
20171216,0.672420,1.00,0.672306,0.706548,30575,1445490,0.84
20171215,0.621724,0.845621,0.588364,0.670891,39887,1336510,0.72
20171214,0.537949,0.744396,0.537949,0.620851,26517,1156420,0.64
20171213,0.582669,0.652870,0.415322,0.528150,32779,1252560,0.53
20171212,0.429030,0.582505,0.394428,0.582197,22597,922281,0.49
20171211,0.343352,0.475410,0.342224,0.428118,9566,738101,0.41
20171210,0.372872,0.484396,0.283022,0.345504,9278,801559,0.38
20171209,0.337454,0.374330,0.294408,0.371331,6058,725422,0.33
20171208,0.298990,0.382679,0.196994,0.337770,10265,642736,0.29
20171207,0.355840,0.371731,0.269067,0.298343,12823,764945,0.32
20171206,0.432706,0.448284,0.153016,0.356465,29979,930184,0.30
20171205,0.396514,0.454815,0.359629,0.433793,12900,852381,0.41
20171204,0.420333,0.473966,0.394324,0.408920,13783,903529,0.43
20171203,0.370778,0.472859,0.370778,0.419053,21910,794638,0.42
20171202,0.382661,0.420654,0.336192,0.370452,15985,818077,0.38
20171201,0.398661,0.448880,0.298423,0.382918,20331,850294,0.37
20171130,0.339616,0.403423,0.272339,0.400567,13474,722224,0.34
20171129,0.335957,0.378505,0.266267,0.334756,10921,712560,0.32
20171128,0.351156,0.389648,0.285772,0.336175,12974,742284,0.34
20171127,0.448146,0.470238,0.306654,0.350472,19197,944643,0.39
20171126,0.305773,0.455184,0.291630,0.448088,16722,642369,0.37
20171125,0.357127,0.458461,0.305771,0.305859,15211,747551,0.38
20171124,0.413193,0.519476,0.298073,0.357815,15255,862057,0.41
20171123,0.383267,0.576476,0.352468,0.414024,31330,797067,0.46
20171122,0.186207,0.383396,0.167473,0.383390,18915,386234,0.28
20171121,0.338156,0.347642,0.169276,0.185703,11916,700227,0.26
20171120,0.375863,0.391664,0.278742,0.338821,9278,777245,0.34
20171119,0.349328,0.392166,0.303468,0.376049,18106,720712,0.35
20171118,0.288576,0.391492,0.285038,0.349971,24962,593734,0.34
20171117,0.354350,0.382008,0.251531,0.321924,23851,727486,0.32
20171116,0.338786,0.375250,0.293992,0.355036,22806,694456,0.33
20171115,0.316805,0.370936,0.283099,0.316968,38816,648138,0.33
20171114,0.461320,0.492467,0.290654,0.316596,63503,942287,0.39
20171113,0.382273,0.494102,0.326464,0.454505,32522,779782,0.41
20171112,0.541234,0.541234,0.346314,0.379943,30212,1102630,0.44
20171111,0.629258,0.649690,0.474168,0.542430,45753,1280340,0.56
20171110,0.643386,0.970563,0.567216,0.631497,54536,1307400,0.77
20171109,0.762856,0.918819,0.655233,0.655233,53077,1548170,0.79
20171108,0.956040,1.13,0.360962,0.763702,172320,1937690,0.75
20171107,0.771923,1.02,0.771923,0.959044,38453,1562540,0.90
20171106,1.01,1.10,0.691834,0.773104,29742,2040870,0.90
20171105,1.17,1.23,0.853041,0.887893,47042,2359980,1.04
20171104,0.834520,1.30,0.721903,1.17,70212,1682850,1.01
20171103,0.486584,0.851990,0.431600,0.836872,43544,979962,0.64
20171102,0.659901,0.717610,0.414119,0.487194,43415,1327320,0.57
20171101,0.789388,0.877786,0.567143,0.639813,41507,1585680,0.72
20171031,0.937851,1.00,0.783239,0.789960,32291,1881420,0.89
20171030,1.17,1.38,0.612293,0.940918,77421,2350230,1.00
20171029,1.81,2.08,0.779118,0.998273,168824,,1.43
20171028,2.03,2.92,1.32,1.92,571258,,2.12
20171027,0.765155,2.13,0.695116,1.98,610833,,1.41
20171026,0.345065,0.822434,0.343647,0.764978,78182,,0.58
