date,open,high,low,close,volume,marketcap,average
20180105,0.318030,0.337133,0.312842,0.337133,354,,0.32
20180104,0.341984,0.345365,0.158053,0.317967,782,,0.25
20180103,0.370908,0.443926,0.221635,0.340121,14806,,0.33
20180102,0.432032,0.450148,0.327006,0.372230,17779,,0.39
20180101,0.391477,0.455661,0.198463,0.432065,17879,,0.33
20171231,0.381409,0.518119,0.118014,0.389968,25900,,0.32
20171230,0.289916,0.513599,0.182213,0.385573,25947,,0.35
20171229,0.141696,0.293659,0.081934,0.290647,17127,,0.19
20171228,0.063615,0.063885,0.055867,0.057769,541,,0.06
20171227,0.086264,0.087462,0.055056,0.063749,597,,0.07
20171226,0.030673,0.087851,0.030673,0.086202,2537,,0.06
20171225,0.077478,0.078207,0.030643,0.030704,3095,,0.05
20171224,0.030308,0.094356,0.030169,0.076682,2652,,0.06
20171223,0.019292,0.156579,0.019292,0.029688,11328,,0.09
20171222,0.454489,0.656961,0.018951,0.019111,4412,,0.34
20171211,0.809599,0.898340,0.806060,0.880311,0,,0.85
20171210,0.398615,1.07,0.324996,0.815487,73039,,0.70
20171209,2.11,3.76,0.154462,0.397006,118142,,1.96
20171208,6.07,6.68,1.96,1.96,316038,,4.32
20171207,12.64,14.13,1.93,6.06,483834,,8.03
20171206,13.07,13.64,8.42,8.53,392570,,11.03
