date,open,high,low,close,volume,marketcap,average
20180110,0.425408,0.428693,0.350776,0.423376,8905240,98454800,0.39
20180109,0.440331,0.476143,0.421652,0.425765,10479600,101909000,0.45
20180108,0.513992,0.514688,0.399674,0.438857,12705500,118956000,0.46
20180107,0.562352,0.562352,0.498921,0.515536,15909800,130149000,0.53
20180106,0.500719,0.607859,0.500719,0.562147,22686100,115885000,0.55
20180105,0.405477,0.619764,0.391681,0.507032,43461500,85732400,0.51
20180104,0.412395,0.446845,0.370281,0.406734,18175900,87195200,0.41
20180103,0.327085,0.493728,0.324253,0.413791,34606000,69157700,0.41
20180102,0.299057,0.341376,0.293305,0.327982,8808830,63231400,0.32
20180101,0.286816,0.309528,0.275870,0.298886,5507410,60643300,0.29
20171231,0.261146,0.305346,0.253543,0.287257,6949090,55215600,0.28
20171230,0.289582,0.289582,0.244948,0.262230,4499190,61228100,0.27
20171229,0.284044,0.306251,0.263415,0.290340,6810460,60057100,0.28
20171228,0.293232,0.344723,0.260325,0.283805,7680170,61999900,0.30
20171227,0.303966,0.317194,0.278325,0.294211,5590380,64269400,0.30
20171226,0.300859,0.315440,0.293568,0.302321,4771580,63612600,0.30
20171225,0.302207,0.331025,0.289120,0.301359,5239180,63897600,0.31
20171224,0.311578,0.316151,0.263669,0.302101,6435540,65878800,0.29
20171223,0.308577,0.351638,0.302855,0.311541,6370000,65244300,0.33
20171222,0.432229,0.433887,0.238600,0.303107,13161100,91388800,0.34
20171221,0.400160,0.485886,0.388423,0.428692,19033300,84608300,0.44
20171220,0.378578,0.419109,0.337313,0.397606,17911000,80045200,0.38
20171219,0.381970,0.417826,0.363612,0.377639,19667300,80762300,0.39
20171218,0.376510,0.387833,0.339991,0.380539,15726600,79607800,0.36
20171217,0.416066,0.452497,0.364336,0.380142,18386100,87971500,0.41
20171216,0.312635,0.431202,0.311644,0.419351,32263900,66102300,0.37
20171215,0.326355,0.333103,0.282946,0.312392,15089500,69003400,0.31
20171214,0.294240,0.354821,0.289808,0.329613,41512600,62213100,0.32
20171213,0.302572,0.317652,0.283331,0.294712,39245400,63974700,0.30
20171212,0.294445,0.363939,0.276824,0.302970,40065900,62256300,0.32
20171211,0.291876,0.314303,0.282614,0.293517,28896000,61713100,0.30
20171210,0.308061,0.308445,0.263446,0.291785,11211000,65135200,0.29
20171209,0.347955,0.387014,0.267309,0.306086,22448800,73570300,0.33
20171208,0.258485,0.349969,0.225233,0.349969,28711500,54653000,0.29
20171207,0.295275,0.359508,0.245485,0.259475,26834400,62431900,0.30
20171206,0.326537,0.508198,0.286835,0.299285,78149500,67083500,0.40
20171205,0.225444,0.335164,0.192046,0.317576,73632300,41805800,0.26
20171204,0.125682,0.267331,0.124273,0.225461,39160800,23306200,0.20
20171203,0.131149,0.133409,0.119819,0.125382,8233120,24319900,0.13
20171202,0.136854,0.147150,0.124723,0.129486,9950810,25377800,0.14
20171201,0.089760,0.170583,0.086677,0.139015,12259800,15091100,0.13
20171130,0.064381,0.099462,0.063511,0.089000,2933280,10824300,0.08
20171129,0.063066,0.078419,0.059440,0.064154,1303560,10603100,0.07
