date,open,high,low,close,volume,marketcap,average
20180110,672.39,728.46,630.14,721.40,245168000,2032060000,679.30
20180109,693.24,723.29,644.06,672.78,213921000,2090110000,683.67
20180108,884.27,896.28,601.87,695.49,282955000,2659820000,749.08
20180107,756.37,955.26,750.39,880.76,542981000,2269630000,852.83
20180106,587.91,780.84,578.69,764.26,305643000,1759870000,679.77
20180105,590.87,606.11,573.83,588.86,158978000,1764630000,589.97
20180104,583.08,602.00,539.10,595.19,166095000,1737200000,570.55
20180103,581.29,593.67,561.58,581.89,152736000,1727630000,577.62
20180102,578.08,624.97,576.00,583.51,207114000,1713990000,600.49
20180101,508.00,621.69,489.34,577.19,234555000,1502590000,555.51
20171231,482.82,516.36,478.63,505.51,95277100,1424590000,497.50
20171230,574.10,574.10,478.66,486.45,143776000,1689880000,526.38
20171229,507.97,601.50,483.99,571.90,227427000,1491580000,542.75
20171228,552.58,560.12,490.40,507.26,129796000,1618580000,525.26
20171227,574.16,590.16,540.62,554.07,143217000,1677730000,565.39
20171226,560.00,573.98,551.84,573.98,139397000,1632270000,562.91
20171225,536.13,575.16,511.03,558.84,139365000,1558920000,543.10
20171224,595.39,595.39,449.03,532.50,142136000,1726960000,522.21
20171223,542.19,637.24,498.77,594.62,231311000,1568750000,568.00
20171222,652.92,656.02,381.48,536.68,351521000,1884510000,518.75
20171221,674.66,743.96,622.92,651.49,279558000,1942370000,683.44
20171220,613.29,740.69,555.81,675.55,305316000,1761330000,648.25
20171219,595.79,635.55,560.39,613.91,287417000,1706810000,597.97
20171218,538.45,600.69,497.31,596.16,348897000,1538680000,549.00
20171217,471.63,562.00,470.36,537.18,305008000,1344370000,516.18
20171216,469.39,498.33,459.92,469.64,150140000,1334630000,479.12
20171215,510.82,510.82,423.73,467.15,220484000,1448690000,467.27
20171214,416.41,529.77,415.50,510.91,423033000,1177960000,472.63
20171213,372.13,437.24,356.12,414.69,265914000,1050030000,396.68
20171212,320.55,379.12,320.55,373.03,191288000,902200000,349.84
20171211,290.03,323.36,284.70,319.96,115200000,814205000,304.03
20171210,317.28,321.55,288.40,291.10,107504000,888438000,304.98
20171209,327.78,353.35,309.25,316.63,132799000,915507000,331.30
20171208,308.04,339.99,295.02,328.07,127793000,858140000,317.50
20171207,339.87,341.80,301.87,308.39,125668000,944355000,321.84
20171206,322.92,372.85,319.57,338.87,206504000,895026000,346.21
20171205,330.96,331.05,319.00,323.39,72757600,914876000,325.02
20171204,323.08,333.39,316.02,330.51,61649200,890812000,324.70
20171203,329.53,341.84,311.27,322.81,85387900,906261000,326.55
20171202,335.38,342.73,320.11,329.30,63555100,919935000,331.42
20171201,306.19,338.11,292.63,335.98,78854200,837670000,315.37
20171130,309.42,330.78,267.70,308.49,93494200,844333000,299.24
20171129,371.17,380.57,300.73,306.07,157702000,1010140000,340.65
20171128,347.66,375.42,346.12,371.24,127136000,943652000,360.77
20171127,340.18,347.51,332.85,347.51,90891200,920947000,340.18
20171126,344.83,346.80,333.71,340.14,81416400,931073000,340.25
20171125,348.59,359.86,336.84,344.70,120059000,938711000,348.35
20171124,310.44,351.50,301.56,346.36,153182000,833750000,326.53
20171123,319.45,320.54,303.16,311.55,102568000,855647000,311.85
20171122,290.89,321.28,290.89,319.73,139325000,777089000,306.08
20171121,301.87,307.82,281.85,290.64,82637900,804205000,294.84
20171120,299.32,304.26,296.36,302.17,55245200,795282000,300.31
20171119,298.22,302.59,294.51,299.33,53157100,790267000,298.55
20171118,290.83,304.79,287.20,298.15,61087000,768597000,296.00
20171117,293.39,294.76,283.98,291.19,56387900,773268000,289.37
20171116,290.25,320.95,288.50,294.91,173976000,762905000,304.73
20171115,271.17,297.92,271.17,290.56,89937200,710792000,284.55
20171114,265.58,275.89,263.64,271.44,52265100,694229000,269.76
20171113,298.73,298.73,258.33,265.45,115940000,778787000,278.53
20171112,253.63,288.67,231.68,288.67,119639000,659346000,260.18
20171111,238.16,269.72,236.25,253.60,68016100,617454000,252.99
20171110,261.95,272.76,231.58,237.88,78740400,677262000,252.17
20171109,250.55,270.18,244.14,262.00,86573400,645990000,257.16
20171108,240.13,252.35,238.26,250.60,60804200,617406000,245.31
20171107,228.75,245.02,228.27,240.87,55446200,586502000,236.65
20171106,225.65,236.34,222.34,228.69,47873100,576941000,229.34
20171105,230.32,232.77,224.34,225.35,38159100,587210000,228.56
20171104,232.63,234.51,224.81,230.39,36530200,591459000,229.66
20171103,217.88,240.39,216.45,232.63,48622200,552362000,228.42
20171102,222.91,224.15,212.09,218.16,47381200,563565000,218.12
20171101,233.93,233.93,220.32,222.41,47917100,589719000,227.12
20171031,239.86,239.93,231.72,233.01,38363600,602974000,235.82
20171030,233.63,244.42,229.00,241.22,50794000,585624000,236.71
20171029,231.63,238.78,224.64,234.33,59020900,578982000,231.71
20171028,243.72,246.68,231.06,231.07,45309100,607479000,238.87
20171027,233.33,255.91,227.84,244.52,131517000,579905000,241.88
20171026,217.36,235.65,217.36,233.67,41638100,538633000,226.50
20171025,215.90,227.99,208.75,217.69,44717900,533463000,218.37
20171024,206.59,227.38,205.07,216.04,37788300,509003000,216.22
20171023,213.41,213.42,201.15,206.52,26665700,524261000,207.28
20171022,212.82,219.28,208.30,213.73,26263000,521286000,213.79
20171021,222.05,223.39,208.83,212.46,37115000,542326000,216.11
20171020,230.20,234.22,222.52,222.52,29093800,560579000,228.37
20171019,229.39,237.61,224.75,230.07,30300100,556979000,231.18
20171018,231.15,239.31,217.17,229.30,29137800,559570000,228.24
20171017,233.11,250.28,227.69,231.28,60696400,562642000,238.99
20171016,231.96,235.96,230.45,233.01,22198300,558212000,233.20
20171015,240.66,240.66,228.25,232.63,25648400,577433000,234.45
20171014,240.05,242.13,238.07,240.89,21199600,574275000,240.10
20171013,227.05,251.00,222.60,240.05,62551500,541560000,236.80
20171012,236.44,236.99,227.00,227.00,39391300,562261000,232.00
20171011,235.32,240.14,231.64,236.13,20522300,557915000,235.89
20171010,229.71,242.36,226.36,235.66,27876900,542934000,234.36
20171009,241.46,242.47,226.57,229.49,33586100,569009000,234.52
20171008,253.52,256.20,240.55,241.06,30469500,595599000,248.38
20171007,257.25,257.56,246.53,253.98,30163700,602523000,252.05
20171006,254.85,272.76,253.32,257.61,49397500,595099000,263.04
20171005,237.64,265.84,227.90,254.82,48244700,553211000,246.87
20171004,253.00,253.14,237.34,237.91,22195500,587108000,245.24
20171003,258.16,260.00,238.33,252.94,36278200,597264000,249.17
20171002,264.51,273.77,254.74,257.60,52062000,610037000,264.25
20171001,277.35,279.68,263.94,263.94,33546100,637677000,271.81
20170930,289.96,292.60,275.43,277.53,37283500,664608000,284.01
20170929,311.49,311.49,272.38,290.12,71232100,711727000,291.94
20170928,285.65,413.06,281.97,310.60,296921000,650661000,347.51
20170927,231.26,296.87,229.84,285.36,130957000,525065000,263.36
20170926,230.70,234.59,228.74,231.47,20525600,522161000,231.67
20170925,205.65,233.60,205.41,230.77,32460800,463963000,219.50
20170924,204.02,207.69,199.50,205.63,15176600,458828000,203.59
20170923,195.50,215.64,192.29,204.21,29531600,438281000,203.96
20170922,175.53,203.67,174.99,195.84,43671100,392222000,189.33
20170921,187.25,190.78,174.86,175.65,17620100,417102000,182.82
20170920,186.99,192.84,183.26,187.86,12166600,415166000,188.05
20170919,193.42,195.95,182.81,188.30,19791200,428072000,189.38
20170918,174.01,193.16,174.01,193.16,27678900,383846000,183.58
20170917,172.30,177.40,164.81,174.18,17358900,378861000,171.11
20170916,181.10,184.53,165.55,172.46,22550100,396908000,175.04
20170915,159.08,183.41,138.69,181.06,45620000,347512000,161.05
20170914,197.68,204.79,158.83,158.88,35524600,430379000,181.81
20170913,207.34,208.14,183.33,197.22,32634000,449957000,195.74
20170912,207.90,221.41,203.27,207.77,26344600,449686000,212.34
20170911,212.19,216.16,205.60,208.77,22339400,457445000,210.88
20170910,213.30,220.22,195.84,212.91,26701400,458304000,208.03
20170909,213.95,215.73,204.87,213.79,24960900,458172000,210.30
20170908,247.40,247.40,206.16,213.99,30849900,528046000,226.78
20170907,247.80,250.15,236.80,247.31,27100600,527118000,243.48
20170906,227.81,248.71,225.62,247.01,29252500,482953000,237.17
20170905,219.36,234.42,197.06,226.88,31113600,463446000,215.74
20170904,260.66,260.66,199.72,218.34,41954600,548884000,230.19
20170903,254.76,268.54,242.55,260.09,34128900,534636000,255.55
20170902,304.72,307.83,246.19,254.03,52498700,637301000,277.01
20170901,283.81,308.75,281.10,305.11,45352800,591510000,294.93
20170831,272.12,283.58,268.83,283.29,26913900,565218000,276.20
20170830,270.74,279.51,263.91,271.64,29396300,560403000,271.71
20170829,274.68,275.68,265.93,270.30,28596800,566591000,270.81
20170828,273.22,278.38,255.11,274.62,35210000,561634000,266.75
20170827,292.75,292.75,265.37,273.37,35217900,599640000,279.06
20170826,238.72,294.65,236.51,294.65,65866400,487257000,265.58
20170825,227.90,256.83,227.90,237.86,28281900,463553000,242.37
20170824,228.12,231.47,225.13,228.11,15371700,462350000,228.30
20170823,227.13,238.80,224.99,228.30,19773800,458739000,231.90
20170822,239.67,240.24,209.21,227.71,26540900,482352000,224.73
20170821,241.22,258.89,231.64,239.06,33202000,483761000,245.26
20170820,232.05,250.96,224.80,241.07,30209100,463682000,237.88
20170819,201.65,242.61,194.37,233.34,34374700,401504000,218.49
20170818,208.93,211.38,200.21,201.01,17564100,414480000,205.80
20170817,217.05,237.16,206.91,208.95,16505300,429048000,222.03
20170816,211.92,218.01,206.16,216.75,17198100,417382000,212.08
20170815,209.94,213.17,199.59,212.17,21171600,411977000,206.38
20170814,214.54,216.58,203.64,210.23,18355900,419477000,210.11
20170813,223.34,225.51,202.03,214.31,21036100,435089000,213.77
20170812,234.22,235.42,219.06,223.31,20015900,454579000,227.24
