date,open,high,low,close,volume,marketcap,average
20180110,1.59,1.60,1.38,1.57,16604,855075,1.49
20180109,1.66,1.69,1.47,1.59,20098,888443,1.58
20180108,1.65,1.84,1.46,1.66,18869,883073,1.65
20180107,1.73,2.06,1.63,1.65,25131,927848,1.84
20180106,1.87,2.08,1.68,1.73,14789,1002230,1.88
20180105,1.75,2.11,1.67,1.87,29541,936308,1.89
20180104,1.84,1.98,1.68,1.75,30910,988548,1.83
20180103,1.79,2.10,1.78,1.83,25427,958049,1.94
20180102,1.82,2.23,1.56,1.79,305848,977527,1.90
20180101,1.78,2.00,1.68,1.82,16297,953561,1.84
20171231,1.75,2.00,1.60,1.77,17617,937598,1.80
20171230,1.92,2.11,1.54,1.77,10681,1027680,1.82
20171229,1.88,2.26,1.86,1.92,27462,1008760,2.06
20171228,2.20,2.21,1.70,1.86,13403,1181550,1.96
20171227,2.07,2.52,1.80,2.21,27721,1108580,2.16
20171226,1.87,2.55,1.62,2.07,32355,1003970,2.08
20171225,1.69,1.96,1.59,1.87,8864,906594,1.77
20171224,1.75,2.12,1.30,1.67,32548,940419,1.71
20171223,1.52,2.29,1.50,1.73,11379,815136,1.90
20171222,1.49,2.76,1.02,1.51,111434,800570,1.89
20171221,1.38,1.71,1.31,1.49,19673,738681,1.51
20171220,1.76,1.76,1.32,1.37,12911,944910,1.54
20171219,1.90,1.95,1.64,1.76,8950,1018100,1.79
20171218,1.92,2.02,1.83,1.90,24478,1028110,1.93
20171217,1.99,2.13,1.89,1.91,9922,1065310,2.01
20171216,1.85,2.06,1.79,1.99,15512,993739,1.93
20171215,1.79,2.64,1.72,1.85,54326,959428,2.18
20171214,1.73,1.96,1.71,1.79,5731,925921,1.83
20171213,1.70,2.12,1.58,1.73,47127,909944,1.85
20171212,1.61,1.83,1.58,1.70,18138,862423,1.71
20171211,1.81,1.95,1.55,1.60,25888,972912,1.75
20171210,1.68,1.90,1.44,1.83,26018,899222,1.67
20171209,1.66,2.14,1.54,1.67,17462,890562,1.84
20171208,1.40,2.22,1.22,1.66,30306,749283,1.72
20171207,1.93,2.21,1.27,1.39,39199,,1.74
20171206,1.87,2.00,1.74,1.93,19363,,1.87
20171205,1.75,1.92,1.74,1.88,23626,,1.83
20171204,2.20,2.50,1.38,1.75,273658,,1.94
20171203,1.91,2.92,1.63,2.20,188888,,2.27
20171202,2.12,2.15,1.35,1.91,286083,,1.75
20171201,2.00,2.28,1.47,2.12,84992,,1.88
20171130,2.11,2.82,1.25,2.01,282965,,2.04
20171129,1.40,2.93,1.06,2.08,115180,,2.00
20171128,1.66,1.75,1.36,1.40,22294,,1.56
20171127,1.31,1.66,1.26,1.65,27713,,1.46
20171126,1.05,1.46,0.884004,1.31,86880,,1.17
20171125,1.49,1.63,0.845761,1.05,94057,,1.24
20171124,1.73,2.01,1.47,1.50,98292,,1.74
20171123,2.71,3.28,0.652161,1.73,456547,,1.97
20171122,3.40,4.09,2.14,2.71,311923,,3.12
20171121,2.91,3.49,2.82,3.39,387482,,3.16
