date,open,high,low,close,volume,marketcap,average
20180110,0.005404,0.008099,0.005365,0.008099,1478,473646,0.01
20180109,0.006626,0.007854,0.004773,0.005397,919,580819,0.01
20180108,0.008468,0.008769,0.005840,0.006644,4209,742261,0.01
20180107,0.005333,0.009306,0.004412,0.008480,11037,467435,0.01
20180106,0.005265,0.005762,0.004000,0.005337,4695,461496,0.00
20180105,0.004251,0.005699,0.004181,0.005261,2030,372589,0.00
20180104,0.004867,0.005104,0.003287,0.004250,3069,426646,0.00
20180103,0.004896,0.005566,0.004695,0.004841,619,429131,0.01
20180102,0.004725,0.005452,0.004432,0.004913,809,414204,0.00
20180101,0.005453,0.005550,0.004726,0.004726,1153,477947,0.01
20171231,0.004704,0.005672,0.004658,0.005432,368,412351,0.01
20171230,0.005363,0.005365,0.004382,0.004756,482,470122,0.00
20171229,0.004774,0.005474,0.004716,0.005377,181,418481,0.01
20171228,0.005586,0.006077,0.004665,0.004725,909,489606,0.01
20171227,0.006018,0.006458,0.005300,0.005597,97,527501,0.01
20171226,0.005422,0.006617,0.005141,0.006014,633,475280,0.01
20171225,0.004694,0.005299,0.004053,0.005269,48,411402,0.00
20171224,0.005697,0.005697,0.004210,0.004645,473,499316,0.00
20171223,0.005652,0.006848,0.005609,0.005634,550,495403,0.01
20171222,0.006698,0.006764,0.005316,0.005599,281,587070,0.01
20171221,0.005769,0.009715,0.005737,0.006675,6293,505515,0.01
20171220,0.005990,0.008920,0.005369,0.005754,3183,524609,0.01
20171219,0.008871,0.011613,0.005568,0.005996,2702,776515,0.01
20171218,0.006684,0.012700,0.006386,0.008864,3732,584796,0.01
20171217,0.009154,0.012612,0.006444,0.006475,3286,800451,0.01
20171216,0.010588,0.011826,0.007534,0.009153,4548,925397,0.01
20171215,0.010782,0.012652,0.008481,0.010573,8250,941759,0.01
20171214,0.006713,0.011102,0.006496,0.010766,12893,586201,0.01
20171213,0.006046,0.007469,0.005269,0.006571,6733,527697,0.01
20171212,0.005388,0.006316,0.004138,0.006041,3203,470015,0.01
20171211,0.004265,0.006274,0.004246,0.005370,5129,371887,0.01
20171210,0.004024,0.004503,0.003537,0.004296,149,350759,0.00
